user_id,session_id,date,device,traffic_source,category,price,product_view,add_to_cart,checkout,purchase,revenue
U07151,S07151,2026-01-01,Mobile,Instagram,Clothing,1349.0,1,0,0,0,0.0
U04550,S04550,2026-01-01,Mobile,Instagram,Home,1012.0,1,0,0,0,0.0
U09607,S09607,2026-01-01,Mobile,Email,Home,8874.0,1,0,0,0,0.0
U06489,S06489,2026-01-01,Mobile,Email,Clothing,4370.0,1,1,0,0,0.0
U04073,S04073,2026-01-01,Mobile,Instagram,Clothing,3689.0,1,0,0,0,0.0
U00280,S00280,2026-01-01,Desktop,Email,Clothing,2411.0,1,1,1,1,2411.0
U08462,S08462,2026-01-01,Desktop,Email,Home,6593.0,1,1,0,0,0.0
U04369,S04369,2026-01-01,Mobile,Instagram,Shoes,2643.0,1,0,0,0,0.0
U00655,S00655,2026-01-01,Desktop,Google,Home,928.0,1,0,0,0,0.0
U00291,S00291,2026-01-01,Desktop,Direct,Shoes,467.0,1,0,0,0,0.0
U02346,S02346,2026-01-01,Mobile,Instagram,Home,10933.0,1,1,0,0,0.0
U00300,S00300,2026-01-01,Desktop,Google,Beauty,10313.0,1,0,0,0,0.0
U09704,S09704,2026-01-01,Mobile,Instagram,Home,849.0,1,0,0,0,0.0
U04348,S04348,2026-01-01,Desktop,Direct,Clothing,1747.0,1,0,0,0,0.0
U09714,S09714,2026-01-01,Desktop,Instagram,Electronics,4088.0,1,1,1,1,4088.0
U08274,S08274,2026-01-01,Desktop,Google,Home,891.0,1,0,0,0,0.0
U04110,S04110,2026-01-01,Mobile,Facebook,Clothing,915.0,1,1,0,0,0.0
U00329,S00329,2026-01-01,Desktop,Google,Clothing,11179.0,1,0,0,0,0.0
U00331,S00331,2026-01-01,Desktop,Google,Electronics,1659.0,1,0,0,0,0.0
U07409,S07409,2026-01-01,Mobile,Email,Beauty,1536.0,1,0,0,0,0.0
U05055,S05055,2026-01-01,Desktop,Instagram,Home,4137.0,1,0,0,0,0.0
U05043,S05043,2026-01-01,Mobile,Google,Shoes,2391.0,1,0,0,0,0.0
U03727,S03727,2026-01-01,Tablet,Instagram,Home,1504.0,1,0,0,0,0.0
U11287,S11287,2026-01-01,Tablet,Google,Electronics,4787.0,1,0,0,0,0.0
U01471,S01471,2026-01-01,Tablet,Email,Home,7611.0,1,0,0,0,0.0
U04538,S04538,2026-01-01,Desktop,Facebook,Home,884.0,1,0,0,0,0.0
U09098,S09098,2026-01-01,Mobile,Instagram,Beauty,2131.0,1,0,0,0,0.0
U05864,S05864,2026-01-01,Desktop,Instagram,Clothing,5459.0,1,1,1,1,5459.0
U09175,S09175,2026-01-01,Desktop,Google,Clothing,1658.0,1,1,0,0,0.0
U05788,S05788,2026-01-01,Desktop,Google,Beauty,11581.0,1,1,1,1,11581.0
U07524,S07524,2026-01-01,Mobile,Instagram,Shoes,7470.0,1,1,1,0,0.0
U01194,S01194,2026-01-01,Tablet,Instagram,Beauty,2883.0,1,0,0,0,0.0
U09233,S09233,2026-01-01,Mobile,Instagram,Home,2509.0,1,1,1,1,2509.0
U07527,S07527,2026-01-01,Desktop,Google,Clothing,4488.0,1,0,0,0,0.0
U03554,S03554,2026-01-01,Mobile,Email,Beauty,2765.0,1,0,0,0,0.0
U10543,S10543,2026-01-01,Mobile,Email,Home,17688.0,1,1,0,0,0.0
U11033,S11033,2026-01-01,Tablet,Google,Shoes,2468.0,1,1,0,0,0.0
U06050,S06050,2026-01-01,Mobile,Instagram,Home,2005.0,1,0,0,0,0.0
U08894,S08894,2026-01-01,Mobile,Direct,Home,5208.0,1,1,1,0,0.0
U06118,S06118,2026-01-01,Mobile,Google,Electronics,7825.0,1,0,0,0,0.0
U01126,S01126,2026-01-01,Mobile,Google,Electronics,2824.0,1,0,0,0,0.0
U04524,S04524,2026-01-01,Desktop,Google,Clothing,1988.0,1,0,0,0,0.0
U00125,S00125,2026-01-01,Mobile,Facebook,Home,942.0,1,1,0,0,0.0
U09430,S09430,2026-01-01,Desktop,Google,Electronics,3265.0,1,0,0,0,0.0
U07130,S07130,2026-01-01,Mobile,Direct,Shoes,4901.0,1,0,0,0,0.0
U00594,S00594,2026-01-01,Mobile,Instagram,Home,8397.0,1,1,0,0,0.0
U04535,S04535,2026-01-01,Mobile,Google,Home,1549.0,1,1,1,0,0.0
U06316,S06316,2026-01-01,Mobile,Direct,Home,2018.0,1,0,0,0,0.0
U07104,S07104,2026-01-01,Mobile,Email,Electronics,5126.0,1,1,1,0,0.0
U00994,S00994,2026-01-01,Mobile,Google,Electronics,1968.0,1,1,1,0,0.0
U04854,S04854,2026-01-01,Mobile,Email,Home,2262.0,1,1,0,0,0.0
U00484,S00484,2026-01-01,Mobile,Direct,Clothing,1640.0,1,1,1,1,1640.0
U00021,S00021,2026-01-01,Desktop,Google,Home,24213.0,1,0,0,0,0.0
U07968,S07968,2026-01-01,Desktop,Google,Shoes,4388.0,1,0,0,0,0.0
U06919,S06919,2026-01-01,Mobile,Google,Home,5816.0,1,0,0,0,0.0
U09878,S09878,2026-01-01,Desktop,Google,Electronics,1499.0,1,1,0,0,0.0
U03076,S03076,2026-01-01,Desktop,Email,Electronics,1418.0,1,0,0,0,0.0
U03081,S03081,2026-01-01,Mobile,Instagram,Clothing,3594.0,1,1,0,0,0.0
U04606,S04606,2026-01-01,Mobile,Google,Shoes,5681.0,1,1,1,0,0.0
U07990,S07990,2026-01-01,Desktop,Instagram,Clothing,2357.0,1,1,1,1,2357.0
U00922,S00922,2026-01-01,Desktop,Facebook,Electronics,1329.0,1,1,0,0,0.0
U04783,S04783,2026-01-01,Desktop,Google,Shoes,806.0,1,0,0,0,0.0
U10906,S10906,2026-01-01,Mobile,Email,Beauty,3066.0,1,0,0,0,0.0
U10035,S10035,2026-01-01,Tablet,Instagram,Clothing,5052.0,1,0,0,0,0.0
U09957,S09957,2026-01-01,Desktop,Email,Clothing,1956.0,1,0,0,0,0.0
U04696,S04696,2026-01-01,Desktop,Instagram,Beauty,3993.0,1,1,0,0,0.0
U04689,S04689,2026-01-01,Desktop,Instagram,Electronics,1918.0,1,0,0,0,0.0
U01730,S01730,2026-01-01,Mobile,Facebook,Home,12009.0,1,0,0,0,0.0
U07084,S07084,2026-01-01,Mobile,Google,Electronics,17146.0,1,1,0,0,0.0
U07350,S07350,2026-01-01,Mobile,Direct,Electronics,3181.0,1,0,0,0,0.0
U00515,S00515,2026-01-01,Mobile,Instagram,Home,647.0,1,1,1,1,647.0
U11486,S11486,2026-01-02,Mobile,Instagram,Electronics,1033.0,1,0,0,0,0.0
U06306,S06306,2026-01-02,Mobile,Direct,Electronics,2407.0,1,0,0,0,0.0
U04534,S04534,2026-01-02,Mobile,Facebook,Beauty,641.0,1,0,0,0,0.0
U09436,S09436,2026-01-02,Mobile,Direct,Shoes,631.0,1,0,0,0,0.0
U01065,S01065,2026-01-02,Mobile,Instagram,Beauty,1714.0,1,0,0,0,0.0
U05012,S05012,2026-01-02,Mobile,Google,Electronics,3233.0,1,0,0,0,0.0
U07803,S07803,2026-01-02,Mobile,Email,Home,7121.0,1,0,0,0,0.0
U07510,S07510,2026-01-02,Mobile,Email,Shoes,1535.0,1,0,0,0,0.0
U09117,S09117,2026-01-02,Mobile,Instagram,Clothing,2548.0,1,0,0,0,0.0
U00018,S00018,2026-01-02,Mobile,Facebook,Clothing,1228.0,1,0,0,0,0.0
U06235,S06235,2026-01-02,Mobile,Email,Home,4122.0,1,1,1,1,4122.0
U07017,S07017,2026-01-02,Mobile,Email,Electronics,13379.0,1,0,0,0,0.0
U06352,S06352,2026-01-02,Desktop,Direct,Shoes,2663.0,1,0,0,0,0.0
U02489,S02489,2026-01-02,Mobile,Google,Clothing,2559.0,1,0,0,0,0.0
U05544,S05544,2026-01-02,Mobile,Instagram,Beauty,2426.0,1,0,0,0,0.0
U05757,S05757,2026-01-02,Mobile,Instagram,Clothing,843.0,1,0,0,0,0.0
U10383,S10383,2026-01-02,Mobile,Instagram,Electronics,2271.0,1,1,1,1,2271.0
U10047,S10047,2026-01-02,Desktop,Instagram,Electronics,6236.0,1,1,1,1,6236.0
U01181,S01181,2026-01-02,Desktop,Instagram,Shoes,9688.0,1,1,1,1,9688.0
U02573,S02573,2026-01-02,Desktop,Google,Electronics,2627.0,1,0,0,0,0.0
U02697,S02697,2026-01-02,Desktop,Google,Electronics,4815.0,1,0,0,0,0.0
U10560,S10560,2026-01-02,Desktop,Facebook,Home,3895.0,1,1,1,1,3895.0
U00012,S00012,2026-01-02,Tablet,Google,Clothing,7117.0,1,0,0,0,0.0
U05725,S05725,2026-01-02,Desktop,Google,Clothing,2075.0,1,0,0,0,0.0
U04457,S04457,2026-01-02,Mobile,Direct,Home,2855.0,1,1,0,0,0.0
U04009,S04009,2026-01-02,Mobile,Instagram,Beauty,1925.0,1,1,1,1,1925.0
U05686,S05686,2026-01-02,Mobile,Instagram,Electronics,7976.0,1,1,1,1,7976.0
U01947,S01947,2026-01-02,Mobile,Direct,Clothing,1020.0,1,0,0,0,0.0
U00823,S00823,2026-01-02,Mobile,Google,Beauty,3025.0,1,1,1,0,0.0
U02174,S02174,2026-01-02,Mobile,Email,Beauty,2324.0,1,0,0,0,0.0
